AÑO,O,D,OPERACIÓN,TIPO DE CARGA,PRODUCTO,CARGA (TON/AÑO),ORIGEN_PROVINCIA,DESTINO_PROVINCIA,ORIGEN_REGION,DESTINO_REGION
2013,6,12,Importación,CONTENEDOR,Materiales de Construcción,"370.904,7",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,NO CONTENEDOR,Materiales de Construcción,"278.015,2",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,13,Importación,CONTENEDOR,Otros productos silvoagropecuarios,"3.946,5",Valparaíso,Cardenal Caro,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,13,Importación,NO CONTENEDOR,Otros productos silvoagropecuarios,"10,2",Valparaíso,Cardenal Caro,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,13,Importación,CONTENEDOR,Otros productos,"5.259,1",Valparaíso,Cardenal Caro,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,13,Importación,NO CONTENEDOR,Otros productos,"116,8",Valparaíso,Cardenal Caro,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,15,Importación,CONTENEDOR,Otros productos silvoagropecuarios,"5.169,6",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,15,Importación,CONTENEDOR,Manufacturas,4.185,Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,15,Importación,NO CONTENEDOR,Manufacturas,"36,2",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,15,Importación,CONTENEDOR,Productos químicos,"12.153,2",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,15,Importación,NO CONTENEDOR,Productos químicos,"97,6",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,15,Importación,CONTENEDOR,Materiales de Construcción,"3.097,3",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
2013,6,15,Importación,NO CONTENEDOR,Materiales de Construcción,"34,1",Valparaíso,Cachapoal,Valparaíso,Libertador General Bernardo O'Higgins
